region,year_month,zone_total_extracted,zone_reserves,zone_percent_extracted_total,ep_sA_reserves,zone_exhaustion,zone_avg_sA
rV,201611,27523859.0,27944684.0,314.50035411454166,4192524.804573019,98.49407851597105,0.15002942257543578
rV,201612,27126120.0,29943677.0,290.35842938629116,4851862.924154708,90.59047758229559,0.16203297023791394
rV,201701,26600551.0,28724020.0,308.3156996519692,4692367.313328779,92.607340476716,0.1633603970937487
rV,201702,31890670.0,33696901.0,345.94879319671776,5393501.78357179,94.63977117658386,0.16005928211534318
rV,201703,1568945.0,1603048.0,17.479834743261854,240151.13278049298,97.87261516810476,0.14980907170620777
rV,201711,6695407.0,6489317.0,72.00793087484018,942057.8524950511,103.17583499157152,0.14517057072339834
rV,201712,32311006.0,31578754.0,461.68075454430914,4472718.183651321,102.31881219886003,0.1416369431058401
rV,201801,34131204.0,31823216.0,523.8749724359038,4405431.843331294,107.25252909699637,0.13843452664656186
rV,201802,13240666.0,11310722.0,204.31144363431176,1473553.236604612,117.062960260185,0.13027932581179275
rV,201803,26871483.0,27531531.0,165.31655468123353,4885937.077002318,97.60257429926436,0.17746695877546068
rV,201804,64133003.0,65770511.0,369.388143803259,11705888.6986498,97.51027021821376,0.17798080812614941
rV,201805,69245062.0,70377894.0,454.6636528173623,12435716.520603409,98.39035819969266,0.17669918512485483
rV,201806,14014929.0,13503800.0,231.13723250439693,2292212.6834484544,103.78507531213437,0.169745751821595
rV,201807,45816109.0,45393313.0,245.64606715051423,7945166.482981694,100.93140590994096,0.17502944724439246
rV,201808,79576123.0,79244870.0,423.4093599215126,14202288.506674366,100.41801191673355,0.1792202890442544
rV,201809,65612650.0,64848815.0,320.5683960765356,11600486.573454946,101.17787040518782,0.17888509718265394
rV,201810,85233671.0,82817389.0,475.44211657453826,14834313.834393326,102.9176022441374,0.17912076211909223
rV,201811,64498375.0,61952298.0,321.4354959512965,11191719.568059389,104.10973778567502,0.1806505961741627
rV,201812,66001206.0,62284184.0,389.9176923902259,11189730.23149044,105.9678424943321,0.1796560460917404
rV,201901,80048455.0,73898467.0,493.9068585364514,13075476.571126608,108.3222132334626,0.17693840078071726
rV,201902,79782602.0,73986112.0,398.28079154617706,13205697.360241909,107.83456495186556,0.17848886775185469
rV,201903,97296039.0,87695726.0,508.7320278929826,15687444.021830063,110.94729861749477,0.17888493245189696
rV,201904,88609386.0,79143033.0,385.19696168287675,14270508.156741522,111.96106927062044,0.1803128792997044
rV,201905,94274836.0,83290894.0,458.7154632577018,15008501.443435926,113.1874463972016,0.1801937849704906
rV,201906,62912845.0,55026698.0,288.2853455099049,9956127.362542372,114.33149232396245,0.18093266949331344
rV,201907,60292731.0,52357044.0,302.18494420351783,9315786.713454587,115.15686599877564,0.1779280494417253
rV,201908,8088351.0,6804252.0,51.049306120727756,1300078.7978209937,118.87200826777138,0.1910685844411691
rV,201909,1287803.0,1197041.0,7.1651284054357856,277440.363,107.58219643270364,0.23177181316262352
rV,201910,9610506.0,8579250.0,100.32133525855971,1440209.201893071,112.02035142932074,0.16787122439526425
rV,201911,9249746.0,8047037.0,145.660975051875,1358311.642456907,114.94598570877703,0.1687964952139411
rV,201912,10004995.0,9258329.0,161.54033193901478,1264467.115186655,108.06480305463329,0.13657616997480376
rV,202001,30295248.0,26267808.0,236.53151594282366,4461176.791633538,115.3322271885039,0.16983437642126584
rV,202002,45970723.0,38578772.0,439.66417172429,6899801.936151873,119.16066949979643,0.17884970356629998
rV,202003,87056772.0,76078907.0,392.26521362507765,14576380.36916595,114.42957770147774,0.191595554457242
rV,202004,38410991.0,34180768.0,124.07349368692063,6968729.415394783,112.37603262747051,0.2038786669566577
rX,200106,1111571.0,52190402.0,1700.0,10612069.696586749,2.1298379728901113,0.20333374126121406
rX,200107,2162918.0,43837350.0,1600.0,8816537.981383748,4.933961564738745,0.2011193190597458
rX,200108,6111322.0,83904101.0,1600.0,16570071.830561714,7.283698802755779,0.19748822325814222
rX,200109,11958649.0,127808556.0,1900.0,26312070.404443696,9.356688921514769,0.2058709622260633
rX,200110,17799854.0,152227774.0,2300.0,32184478.772052437,11.692908286236912,0.21142317151699555
rX,200111,23079656.0,152831158.0,1900.0,32777747.537872624,15.10140752843082,0.2144703211492556
rX,200112,21331545.0,121490784.0,1800.0,26622176.602070518,17.558158979367523,0.2191291859806462
rX,200201,28258482.0,134336580.0,2200.0,29748287.386032622,21.035582415452293,0.22144591879615086
rX,200202,26328009.0,104825651.0,2100.0,23259651.669284783,25.11599856413007,0.22188893126249015
rX,200203,30602445.0,111793804.0,2000.0,25515026.96539929,27.37400813376026,0.22823292572993842
rX,200204,33659904.0,118197792.0,1900.0,27784998.66965518,28.477608109633724,0.2350720618339062
rX,200205,43466068.0,134898478.0,2098.497703323426,31081986.21999918,32.22131831613401,0.23041020685199412
rX,200206,44219227.0,127014741.0,2200.0,29189594.78937974,34.814248056451966,0.22981265449637645
rX,200207,48819272.0,131201197.0,2200.0,29974424.29706423,37.20947149590411,0.2284615154621206
rX,200208,47024145.0,114530553.0,2100.0,26073438.10112827,41.058166374172664,0.22765486953623867
rX,200209,49114848.0,112933057.0,2000.0,25702099.810131438,43.49023156257959,0.22758703689506465
rX,200210,48077722.0,105949214.0,2300.0,24201171.9528957,45.3780827482118,0.22842238313250443
rX,200211,40908541.0,109850572.0,2100.0,25648610.951396305,37.24017112992365,0.2334863668383657
rX,200212,37910016.0,110913422.0,2000.0,26670097.114848964,34.17982721694404,0.24045869863116265
rX,200301,28661356.0,103285912.0,1900.0,25577696.222712673,27.749530836306118,0.2476397383479818
rX,200302,24950423.0,100611662.0,1999.9999999999998,25123159.868410163,24.798738539872247,0.2497042526582074
rX,200303,20877303.0,83876180.0,1800.0,21228672.91398124,24.89062210510779,0.25309537122436
rX,200304,28771759.0,110738916.0,2100.0,28355799.61892125,25.981615171309784,0.2560599348734933
rX,200305,34468343.0,131238969.0,2400.0,33636933.28061551,26.263802026667854,0.25630293758720024
rX,200306,34943139.0,118439614.0,2200.0,30221273.193629127,29.502915299943478,0.2551618683393305
rX,200307,36070749.0,114071914.0,2398.669692464199,29527382.809990082,31.62106055308233,0.25884884170515526
rX,200308,45271284.0,143553473.0,2400.0,36882506.76091598,31.53618164291992,0.25692521392997564
rX,200309,50749316.0,140328996.0,2300.0,35665392.828242354,36.164525826152136,0.25415554764064835
rX,200310,48441569.0,151636533.0,2500.0,38365979.750901386,31.945843156411392,0.2530127733196154
rX,200311,51787568.0,157726817.0,2500.0,39704352.89878699,32.83371146708679,0.25172861314247524
rX,200312,64092168.0,171061240.0,2500.0,42606718.692563474,37.4673818569303,0.24907289747556766
rX,200401,59541651.0,168558573.0,2100.0,42558721.8607205,35.32401226486416,0.252486249161118
rX,200402,61508254.0,162962947.0,2100.0,40814707.47675407,37.743705015349285,0.25045391132227174
rX,200403,66382310.0,191115909.0,2500.0,47562710.5231002,34.73405764456793,0.24886840018692635
rX,200404,71131484.0,193209021.0,2400.0,48543740.54915176,36.815819277920774,0.25124986554924766
rX,200405,82429970.0,217763352.0,2500.0,53793719.165053494,37.85300384244636,0.24702833911673758
rX,200406,85501021.0,210307218.0,2500.0,51056094.47164175,40.65529553056044,0.2427691020649693
rX,200407,90101157.0,206195299.0,2400.0,49979853.243808106,43.69699864010963,0.24239084734811586
rX,200408,97063969.0,237535904.0,2696.4518313885596,57367182.13637992,40.86286214651575,0.24150951990979821
rX,200409,89303400.0,229368335.0,2600.0,54346527.02833928,38.934493725997534,0.2369399726790504
rX,200410,93282024.0,203797854.0,2500.0,47657525.30843477,45.77183820591163,0.23384704192437064
rX,200411,107952069.0,261768920.0,2900.0,59876287.99189048,41.239452338344826,0.22873719306283757
rX,200412,108253287.0,306872351.0,2898.366060961313,68073398.3609884,35.27632471522337,0.22182968957339658
rX,200501,88774025.0,304163486.0,2759.7984820736424,66560232.54542564,29.18628602251093,0.2188304501001992
rX,200502,77957925.0,250789720.0,2460.1712763081196,55165436.2981038,31.084976290096737,0.21996689616346238
rX,200503,81072088.0,235108444.0,2574.1807901497186,51416213.144165054,34.48284826384202,0.21869147815109974
rX,200504,90557708.0,240769860.0,2592.044385965756,53256026.531052664,37.61172930864353,0.22119058644239217
rX,200505,95002541.0,234861469.0,2340.811078717792,51727610.15565868,40.450458478568066,0.2202473244159887
rX,200506,117761003.0,266342329.0,2518.1516291898065,59124827.39742398,44.214152306222424,0.22198809937350958
rX,200507,100279901.0,203378280.0,2038.0455764634562,45172479.58675256,49.307084807679566,0.22211063829801572
rX,200508,133517172.0,246114083.0,2559.0208831256564,54449014.43295655,54.25011456983548,0.22123485892904612
rX,200509,122494745.0,225355194.0,2184.4680614411704,49946721.260082565,54.3562998596784,0.2216355450856951
rX,200510,127893033.0,236187848.0,2292.066372006656,51808668.6764276,54.148862476616486,0.21935365902663884
rX,200511,86868350.0,150899205.0,1591.4437274820025,33144740.093103424,57.56713562539974,0.2196482088365106
rX,200512,85199234.0,137611317.0,1638.8856269236546,30318619.2890353,61.91295589446324,0.22032068255720058
rX,200601,124550520.0,185141505.0,1935.9161716819438,41005829.69367039,67.2731487194079,0.22148372237586808
rX,200602,114081434.0,168169601.0,1745.6713496822922,36442326.33872553,67.83713187260282,0.2166998442169434
rX,200603,131396066.0,183253270.0,1551.3102639626718,39398296.48919226,71.70189432363199,0.2149936887303144
rX,200604,143384277.0,191638579.0,1163.591658809919,41069353.87680594,74.82015247044804,0.21430629516829144
rX,200605,123475512.0,164003486.0,1051.8803810096667,34516230.961139835,75.28834600503552,0.2104603493680606
rX,200606,137426597.0,166223593.0,1290.7086731000054,35351626.80012415,82.67574687788152,0.2126751453394715
rX,200607,124569108.0,146256358.0,1036.5215695083575,30961601.448180888,85.17175574685102,0.21169405468294847
rX,200608,129468890.0,146175710.0,1104.1759117455972,30793975.803275812,88.57072765372578,0.21066410967510138
rX,200609,85148004.0,92994727.0,778.4806350363194,19288943.08976326,91.56218502582409,0.2074197506893403
rX,200610,101739883.0,114131381.0,1254.5306784001987,23250577.727937624,89.1427774802795,0.2037176587562506
rX,200611,87649591.0,93524759.0,1024.7071503775428,18989271.886148527,93.71806133175922,0.2030400515242015
