zone,year_month,datestring
P77,200806,444
P77,200807,471
P77,200808,504
P77,200809,519
P77,200810,499
P77,200811,122
P77,200812,379
P77,200901,453
P77,200902,358
P77,200903,400
P77,200904,466
P77,200905,259
P77,200906,334
P77,200907,375
P77,200908,443
P77,200909,388
P77,200910,399
P77,200911,439
P77,200912,502
P77,201001,546
P77,201002,484
P77,201003,536
P77,201004,495
P77,201005,467
P77,201006,466
P77,201007,489
P77,201008,393
P77,201009,540
P77,201010,526
P77,201011,412
P77,201012,505
P77,201101,510
P77,201102,319
P77,201103,522
P77,201104,461
P77,201105,570
P77,201106,569
P77,201107,583
P77,201108,539
P77,201109,525
P77,201110,471
P77,201111,420
P77,201112,561
P77,201201,604
P77,201202,582
P77,201203,534
P77,201204,537
P77,201205,606
P77,201206,587
P77,201207,603
P77,201208,617
P77,201209,560
P77,201210,611
P77,201211,485
P77,201212,407
P77,201301,560
P77,201302,496
P77,201303,478
P77,201304,484
P77,201305,504
P77,201306,486
P77,201307,490
P77,201308,490
P77,201309,481
P77,201310,553
P77,201311,496
P77,201312,556
P77,201401,470
P77,201402,472
P77,201403,458
P77,201404,552
P77,201405,532
P77,201406,458
P77,201407,461
P77,201408,397
