region_zone,year_month,zone_total_extracted,zone_reserves,zone_percent_extracted_total,ep_sA_reserves,zone_exhaustion,zone_avg_sA
rVP67,201808,39678825.0,38491252.0,151.33861315758267,7201984.39505173,103.0853062404933,0.1871070443500183
rVP67,201809,32218456.0,31078058.0,123.54635957678855,5783601.53629394,103.66946351667148,0.186099193723557
rVP67,201810,38488547.0,37069439.0,169.39915356031253,6842708.99095846,103.82824245060735,0.1845916521951805
rVP67,201811,35769765.0,33976711.0,155.14075789306006,6285235.94366545,105.2773030326567,0.18498659107014362
rVP67,201812,30391849.0,28514404.0,129.49931183799785,5300622.106702481,106.58419863869501,0.18589278971787315
rVP67,201901,32764299.0,30707809.0,129.664866605479,5648701.079790179,106.69696102382295,0.18394998743772892
rVP67,201902,39353791.0,36438642.0,137.9841700795365,6757416.9643766675,108.00015818372155,0.18544645446382627
rVP67,201903,47061818.0,43011368.0,169.31962210616638,7901817.403943924,109.41716152808718,0.18371462642025066
rVP67,201904,42311130.0,37972571.0,150.94905162513987,7033964.0997005645,111.42550763813175,0.18523802614525534
rVP67,201905,48785428.0,43414277.0,192.04750162189714,8016644.994526708,112.37185407924679,0.18465457790594342
rVP67,201906,35979783.0,31510430.0,144.1828234172006,5854920.751664294,114.18372583300196,0.18580897663612633
rVP67,201907,29740301.0,26096925.0,132.19179175527526,4761440.067158825,113.96093984252933,0.18245214971337906
rVP67,201908,1414944.0,1180848.0,5.868832362856267,222726.493086304,119.82439738222024,0.18861571776071434
rVP67,202001,14395088.0,12597225.0,49.625551872406476,2287272.7002379503,114.27189718370514,0.18156956791975618
rVP67,202002,26542928.0,22839081.0,172.47127305069168,4191086.8729070756,116.21714551474291,0.1835050575330538
rVP67,202003,38376280.0,32743272.0,154.41581478633333,5983068.1300793635,117.20355864252052,0.18272664167708602
rVP67,202004,12724187.0,10794472.0,49.149908806902836,1971797.642378393,117.87688179653438,0.18266735439939935
rVP71,200710,347.0,318504.0,1.10808904423143,45217.31199999,0.10894682641348302,0.14196779946245575
rVP71,200711,13344.0,2317221.0,14.978883967833482,362221.80140627705,0.5758622073595916,0.15631733071911444
rVP71,200801,10759.0,1976250.0,15.724944869934433,341538.20643924,0.5444149272612271,0.172821356832
rVP71,200802,355.0,98829.0,0.17302732525872483,13232.105010981,0.35920630584140284,0.133888889
rVP71,200803,17852.0,1976580.0,3.306573047532907,264642.10021962,0.903176193222637,0.13388888899999998
rVP71,200804,60802.0,2767212.0,5.710117567641012,370498.9403074679,2.1972295581256516,0.13388888899999996
rVP71,200805,77160.0,2174238.0,4.065497354131524,291106.31024158193,3.5488295209632064,0.13388888899999996
rVP71,200806,66898.0,1482435.0,2.413172016808384,198481.575164715,4.512710506700126,0.133888889
rVP71,200807,4850.0,98829.0,0.14927120529181057,13232.105010981,4.907466431917757,0.133888889
rVP71,200808,22284.0,6741124.0,23.80267111091602,1285721.5265272479,0.3305680180337878,0.19072806352875987
rVP71,200809,322094.0,18800693.0,26.390471192816122,3102529.9186791056,1.713202805875294,0.1650221041681339
rVP71,200810,296219.0,15133248.0,22.296779876275288,2569091.167118964,1.957405310479284,0.16976469077351827
rVP71,200811,179709.0,7489812.0,12.358212525039905,1268489.629515558,2.399379316864028,0.16936201195911968
rVP71,200812,585276.0,19800888.0,37.89949665878823,3338171.037997494,2.955806830481542,0.16858693599991545
rVP71,200901,722351.0,19305240.0,29.779258401539952,3242347.4767337646,3.741735404480856,0.16795167927121157
rVP71,200902,722678.0,19796860.0,48.09295423436838,3414915.1526019983,3.6504678014594236,0.17249781796719268
rVP71,200903,660431.0,15855740.0,43.64263563657947,2839415.954196324,4.165248673351102,0.17907811014789118
rVP71,200904,16038.0,4569656.0,20.008568517804754,1080428.17855986,0.35096733758514864,0.23643534186377704
rVP71,200905,62514.0,3371443.0,7.43691551770015,716161.913087778,1.8542208781225131,0.2124199973387591
rVP71,200906,40760.0,6896660.0,26.82176725158912,1472716.709351212,0.5910107211316782,0.21354057026897252
rVP71,200907,267570.0,21499984.0,28.421352619052836,4954207.554315515,1.2445125540558541,0.2304284298218787
rVP71,200908,935550.0,12288354.0,27.602711962294954,1955657.792042316,7.6133060619835655,0.15914725373653102
rVP71,200909,1116335.0,16976151.0,33.88757217822756,2815112.607899155,6.5759016870196305,0.16582749575561356
rVP71,200910,1575973.0,31908363.0,56.265285491911435,6012817.0216667075,4.939059393300747,0.18844015976835626
rVP71,200911,2099280.0,60035785.0,89.32227563685645,12444138.678070642,3.4967145011929137,0.2072786868377026
rVP71,200912,2030119.0,47548051.0,65.60302138934401,9641622.12968764,4.269615593707511,0.202776389923693
rVP71,201001,3877406.0,77706665.0,183.9362356653508,16049798.706870794,4.989798494118877,0.20654339890755566
rVP71,201002,3405549.0,57038941.0,121.73291892319084,11786853.064895036,5.9705684227201905,0.20664572059455025
rVP71,201003,5928106.0,95440109.0,221.10530865458918,19775035.88761477,6.211336158469811,0.20719837911768071
rVP71,201004,862297.0,15394909.0,67.22074998223579,3211460.3899544305,5.60118283258446,0.20860535063600769
rVP71,201005,6705229.0,89790279.0,211.68604818537233,18591285.316516664,7.467655824969649,0.20705231706114494
rVP71,201006,7931535.0,91487499.0,248.23377718360567,19138744.15561551,8.669528718890874,0.2091951836569006
rVP71,201007,5356069.0,52724710.0,154.92359210589012,11080984.560378034,10.158555637385202,0.21016681856340289
rVP71,201008,7833681.0,71886064.0,139.64662371306417,14844868.747277945,10.897356961983618,0.2065055161077945
rVP71,201009,6601726.0,59379192.0,107.2607234392041,12357417.427520856,11.117911473096502,0.20811023207457682
rVP71,201010,8768080.0,69041804.0,109.55596987006658,14149731.18437708,12.699668160466954,0.20494440128443167
rVP71,201011,8547593.0,64252840.0,110.28760154369682,13094581.056960523,13.303058666356227,0.20379770072358705
rVP71,201012,8071655.0,61483886.0,101.85498046576592,12665025.786355872,13.128082047383927,0.20598935119936745
rVP71,201101,10435755.0,74112404.0,135.19311041822004,15488751.210607149,14.080982989028396,0.20898999863244416
rVP71,201102,11336514.0,73352415.0,127.31213287666208,15070261.125508523,15.45486130211255,0.20545010175204897
rVP71,201103,14563180.0,96575511.0,274.30109666717226,19734282.93052915,15.07957850722633,0.2043404453798764
rVP71,201104,16132249.0,94028494.0,260.80929520187294,19055660.10754011,17.156766330852857,0.20265835702462817
rVP71,201105,22608779.0,122524394.0,381.9419736629088,24910406.035438515,18.452471595166593,0.20330976732224046
rVP71,201106,25037384.0,123322335.0,355.76449293882285,24757832.7760986,20.302392101155075,0.20075708731997818
rVP71,201107,24873014.0,117699449.0,280.51959407361704,23722669.379385307,21.132651181740027,0.20155293487725084
rVP71,201108,24634622.0,103647328.0,291.3566276270863,20831241.41892462,23.767734755304062,0.20098194348941267
rVP71,201109,29608193.0,119930968.0,287.6886643777834,23944991.581001103,24.687696175353143,0.1996564522100839
rVP71,201110,26482982.0,100750701.0,264.47731394495395,19886743.097738903,26.285655322636416,0.19738565489225632
