datetime,average_exhaustion,average_sA,number_extract_points,pA
2007-05-01,48.754750884711825,0.2537991337228121,140.0,0.1986
2007-05-02,53.32000266711485,0.257726106037637,140.0,0.1938
2007-05-03,51.753531252229,0.2636873149778598,136.0,0.1898
2007-05-04,53.47324525011128,0.2569410342338374,138.0,0.1868
2007-05-05,53.40875782792619,0.2566957713325813,161.0,0.1808
2007-05-06,51.32685758468591,0.2473855664964138,157.0,0.1796
2007-05-07,48.43139532578572,0.25187650818896257,137.0,0.1824
2007-05-08,50.33240452493251,0.2604468981819017,138.0,0.1866
2007-05-10,46.3678682960248,0.24663037113949315,64.0,0.1846
2007-05-11,50.742396346917715,0.24872873437432716,146.0,0.1858
2007-05-12,53.63295740895684,0.25533926400156903,152.0,0.1846
2007-05-13,52.30387318917407,0.2569920665417475,145.0,0.1834
2007-05-14,53.97107746134489,0.2546195634477412,165.0,0.1876
2007-05-15,55.09590047451643,0.2544459720179069,160.0,0.1892
2007-05-16,55.97044940039007,0.2560984260965792,141.0,0.1934
2007-05-17,53.707032152509136,0.2492017363795262,147.0,0.1944
2007-05-18,53.89935207621878,0.25304055258561586,107.0,0.1892
2007-05-19,50.766815481132745,0.2526194623099725,154.0,0.1794
2007-05-20,52.59479703270813,0.25830456538400776,149.0,0.1826
2007-05-21,57.89273889945465,0.2472763911470791,112.0,0.1782
2007-05-23,55.877411631345126,0.2488057619270169,55.0,0.1758
2007-05-24,51.53860265249035,0.2353156073213401,85.0,0.1784
2007-05-25,55.5798480216821,0.24954922567817645,154.0,0.1864
2007-05-26,51.95102976000948,0.2527234562591585,151.0,0.18
2007-05-27,54.50879991716542,0.25505106926928633,151.0,0.1832
2007-05-28,47.08902347254989,0.2533659813557284,115.0,0.1864
2007-05-29,54.0072427546709,0.2445451668164233,134.0,0.1868
2007-05-30,57.34424796950394,0.24310228724480215,156.0,0.1852
2007-05-31,44.222766019927576,0.24978756711984595,185.0,0.1884
2007-06-01,55.81502851563686,0.23996130489889786,165.0,0.1876
2007-06-02,51.62497134438282,0.2492094004918133,168.0,0.1934
2007-06-03,56.601394520615166,0.25185404392074423,165.0,0.191
2007-06-04,52.545484871702044,0.2469009831658664,172.0,0.1888
2007-06-05,49.812732677938136,0.2505575102706916,131.0,0.1876
2007-06-07,53.807093823625564,0.2396268738866084,49.0,0.1868
2007-06-08,52.19440051825108,0.258531256612359,145.0,0.1802
2007-06-09,51.168972642611934,0.2593727545736073,152.0,0.181
2007-06-10,53.58282979226031,0.25328665313944965,141.0,0.18
2007-06-11,48.07810439722528,0.24770233738643296,139.0,0.1864
2007-06-12,52.08657220723622,0.2426038159950767,155.0,0.187
2007-06-13,53.37527738093506,0.2510031046920544,167.0,0.1898
2007-06-14,52.09057604149605,0.24501750255662835,170.0,0.194
2007-06-15,50.968553913964605,0.2494533053404616,147.0,0.1984
2007-06-16,51.79971983911165,0.2546335075779103,155.0,0.193
2007-06-17,50.08839322272543,0.26885059212843304,110.0,0.1976
2007-06-22,48.01571533626353,0.2464430277101288,125.0,0.2004
2007-06-23,56.9140076972958,0.2546633232089709,134.0,0.2034
2007-06-24,52.07438103667,0.2612451904489481,152.0,0.1986
2007-06-25,40.98116373039787,0.24522771250557654,156.0,0.1998
