datestring,total_extracted,number_extract_points,average_exhaustion,average_sA,average_percent_extracted_per_point,date,pA,pB,pD,pC
20141201,32114.0,172.0,68.2325129389555,0.18906010182742727,0.5813953488372086,12/1/2014,0.18,2.008,0.02,
20141202,36316.0,181.0,64.46410164448427,0.18601024084331064,0.5509690355280655,12/2/2014,0.172,1.7109999999999999,0.017,
20141203,37286.0,193.0,71.21657047712071,0.18002434017676172,0.516859408862324,12/3/2014,0.172,1.585,0.016,
20141204,22779.0,174.0,67.07854007270316,0.1879719531395584,0.5747126436781607,12/4/2014,0.17300000000000001,1.633,0.016,
20141209,21969.0,146.0,62.39322522913213,0.1862728098238427,0.6849315068493155,12/9/2014,0.166,1.8619999999999999,0.016,
20141210,32610.0,158.0,59.02892541727836,0.18240576410723225,0.6298211933576173,12/10/2014,0.17600000000000002,1.8869999999999998,0.023,
20141211,34022.0,139.0,59.99406676278065,0.18157917282934571,0.7194244604316539,12/11/2014,0.171,1.7309999999999999,0.019,
20141212,33552.0,160.0,68.46429392729634,0.18378111387947768,0.6223475293070186,12/12/2014,0.18100000000000002,1.686,0.017,
20141213,38105.0,188.0,61.74783151985096,0.1789495405432358,0.5319148936170222,12/13/2014,0.168,1.699,0.017,
20141214,30960.0,145.0,54.17099252348271,0.1773615275245659,0.6865506153675585,12/14/2014,0.17300000000000001,1.541,0.016,
20141215,39914.0,174.0,65.67481222963704,0.18315567273981137,0.5693492295797988,12/15/2014,0.18600000000000003,1.528,0.018000000000000002,
20141216,29470.0,156.0,57.029861448531854,0.18261603740200205,0.6410256410256421,12/16/2014,0.177,1.8090000000000002,0.023,
20141217,32695.0,172.0,57.34860617337897,0.1841089704105212,0.5790222343121183,12/17/2014,0.182,1.7469999999999999,0.024,
20141218,35835.0,184.0,72.12343537173317,0.1827123106186689,0.5434782608695654,12/18/2014,0.161,1.6640000000000001,0.019,
20141223,23479.0,146.0,66.09079093595236,0.17849705858558712,0.6849315068493154,12/23/2014,0.158,1.7819999999999998,0.018000000000000002,
20141224,35940.0,204.0,69.55356308528776,0.17741587440194612,0.4884022804065067,12/24/2014,0.171,1.7209999999999999,0.021,
20141226,37395.0,182.0,61.6101133261967,0.18305558490346302,0.5494505494505505,12/26/2014,0.155,1.7519999999999998,0.022000000000000002,
20141227,29507.0,191.0,67.64565763896728,0.17764508472347224,0.5195806376577007,12/27/2014,0.16699999999999998,1.906,0.025,
20141228,41273.0,198.0,66.9174730010886,0.18122616806986153,0.5019855387104026,12/28/2014,0.17800000000000002,1.81,0.02,
20141229,32416.0,188.0,56.50979079302251,0.18158868671895106,0.5282321301234413,12/29/2014,0.19399999999999998,1.876,0.019,
20141230,37681.0,195.0,59.123236782426915,0.1778712560580184,0.5096017759853828,12/30/2014,0.16899999999999998,1.7369999999999999,0.016,
20141231,34758.0,192.0,57.81616863562719,0.1871847133907678,0.5171139453839115,12/31/2014,0.165,1.689,0.019,
20150101,33419.0,165.0,53.900838854237705,0.17787592187057527,0.6024730618698148,1/1/2015,0.155,1.734,0.02,
20150106,38403.0,181.0,64.57458917576446,0.1826415031919108,0.5486856932380767,1/6/2015,0.183,1.758,0.017,
20150107,37206.0,188.0,65.17883607826951,0.18120334295824767,0.52832231324688,1/7/2015,0.192,,,
20150108,36872.0,160.0,58.55554912977383,0.18336008548916602,0.6233938377471804,1/8/2015,0.177,,,
20150109,29498.0,159.0,56.51840264484953,0.18253387803814486,0.6234986139425853,1/9/2015,0.196,,,
20150110,41827.0,189.0,63.75518211344778,0.1827363231597533,0.5291005291005291,1/10/2015,0.174,,,
20150111,40335.0,179.0,72.2572159009937,0.17770412259043017,0.5586592178770949,1/11/2015,0.18,1.97,0.017,
20150112,38432.0,184.0,72.03758993290074,0.1785741099412469,0.5434782608695646,1/12/2015,0.18100000000000002,2.002,0.023,
20150113,38024.0,170.0,75.34512849310626,0.17806906653421523,0.5882352941176471,1/13/2015,0.17600000000000002,2.0069999999999997,0.015,
20150114,35206.0,151.0,81.17255918829144,0.17137147288405385,0.6622516556291399,1/14/2015,0.19,1.8659999999999999,0.016,
20150115,33632.0,151.0,77.24969224033501,0.17480854679335156,0.6622516556291391,1/15/2015,0.188,1.881,0.019,
20150119,36177.0,200.0,58.253971852274915,0.18123625029122092,0.4987454505349078,1/19/2015,0.20199999999999999,1.7469999999999999,0.017,
20150120,36556.0,164.0,68.7384451678909,0.18465453729735476,0.6078604827499053,1/20/2015,0.19,1.985,0.02,
20150121,36925.0,195.0,59.821603032876425,0.18435623003951168,0.5114078222890719,1/21/2015,0.177,2.1959999999999997,0.02,
20150122,37205.0,193.0,61.73396326319133,0.18470056600476473,0.5160126899871206,1/22/2015,0.22899999999999998,2.056,0.021,
20150123,9924.0,127.0,56.30998294580705,0.1842698123453639,0.779080082586885,1/23/2015,0.19699999999999998,1.9980000000000002,0.023,
20150126,15163.0,74.0,52.703069381683974,0.1755732917703621,1.3513513513513522,1/26/2015,0.27,1.931,0.012,
20150127,41836.0,177.0,58.467569073087766,0.18392123069328803,0.5619762284431488,1/27/2015,0.22399999999999998,2.096,0.018000000000000002,
20150128,43268.0,189.0,59.5927062039447,0.18029765984307847,0.5278318199096583,1/28/2015,0.207,1.945,0.022000000000000002,
20150129,48127.0,189.0,62.52145096691249,0.1854311660282096,0.5277954890357998,1/29/2015,0.20600000000000002,2.046,0.027000000000000003,
20150202,17246.0,97.0,61.72015055799978,0.1865374483014481,1.0257532708301489,2/2/2015,0.187,,,
20150203,39073.0,140.0,70.90928547766185,0.1802051299695442,0.714285714285714,2/3/2015,0.209,1.972,0.021,
20150204,34982.0,187.0,52.41213949687051,0.18842357319377745,0.5334783514417879,2/4/2015,0.21,1.9140000000000001,0.023,
20150205,40009.0,192.0,66.18884208694537,0.1857367770665869,0.5194829814108478,2/5/2015,0.217,1.92,0.024,
20150206,38252.0,191.0,62.49368831931074,0.1846824119484716,0.5214608428602312,2/6/2015,0.218,2.003,0.018000000000000002,
20150207,35778.0,194.0,70.10240446640292,0.18081894970059365,0.5139842267840116,2/7/2015,0.201,2.2640000000000002,0.024,
20150208,34432.0,174.0,64.03927938597411,0.18567927744648133,0.573081544950085,2/8/2015,0.19399999999999998,2.036,0.019,
20150209,36806.0,167.0,74.42359715231726,0.18628194286619032,0.5988023952095809,2/9/2015,0.193,2.114,0.021,
20150210,35998.0,178.0,62.70111782685688,0.1840703210485305,0.5617977528089887,2/10/2015,0.233,1.936,0.019,
20150211,35817.0,174.0,68.45177452784401,0.1844616623700259,0.5732082860020794,2/11/2015,0.23199999999999998,2.2159999999999997,0.02,
20150212,26438.0,176.0,61.42448784976454,0.18799027465901133,0.5655506535556233,2/12/2015,0.19699999999999998,2.286,0.024,
20150217,37589.0,148.0,59.32492894598697,0.18933572273231947,0.6752624952933365,2/17/2015,0.19,1.9269999999999998,0.017,
20150218,26034.0,153.0,65.56627657841412,0.17726876347321702,0.6510440111153118,2/18/2015,0.22899999999999998,1.839,0.021,
20150219,30071.0,165.0,65.12517604682402,0.18664998098703967,0.6040918984669199,2/19/2015,0.213,1.851,0.02,
20150220,36838.0,154.0,69.85729179077008,0.1853876625341595,0.6472247414913603,2/20/2015,0.207,2.0,0.025,
20150221,39818.0,166.0,62.91445278290291,0.18331680679658557,0.5995637510423631,2/21/2015,0.221,2.023,0.023,
20150222,36322.0,177.0,72.92374305838607,0.18199699584251752,0.562031769138976,2/22/2015,0.205,1.9180000000000001,0.017,
20150223,32698.0,150.0,66.00136054734477,0.18906503262391,0.6646340223997406,2/23/2015,0.175,2.037,0.019,
20150224,33462.0,162.0,56.13965803067431,0.18578318396460072,0.615481393192954,2/24/2015,0.18100000000000002,1.984,0.018000000000000002,
20150225,38017.0,191.0,67.03862677293726,0.18625278712448187,0.5221729493067687,2/25/2015,0.2,1.9909999999999999,0.02,
