year_month,average_exhaustion,average_sA,number_extract_points,average_pD,Predicted_pD,Error,datetime,cCD,production,cCD_per_prod,Predicted_cCD,cCD_Error
201810,72.38,0.192,145.0,0.0133125000625,0.0146088717465838,0.0012963716840837974,2018-10-01,18908.4,363587,0.062555097,0.05654661366352958,-0.006008483336470423
201811,69.82,0.194,138.0,0.012166666625,0.014228532977996,0.0020618663529959995,2018-11-01,19812.9,379885,0.057771632999999996,0.05912242415634137,0.0013507911563413744
201812,77.4,0.187,146.0,0.013634615384615384,0.014571810247454096,0.0009371948628387142,2018-12-01,33793.8,350190,0.066304855,0.05628482012140593,-0.010020034878594063
201901,83.5,0.19,134.0,0.011744047642857141,0.012726031475304279,0.0009819838324471378,2019-01-01,22500.0,442755,0.064891502,0.06452837690090915,-0.00036312509909085244
201902,78.77,0.17765,136.0,0.012660714285714287,0.014351149314894918,0.0016904350291806307,2019-02-01,22500.0,388230,0.066707981,0.06014199948819567,-0.006565981511804327
201903,88.15,0.1805,134.0,0.012882352941176477,0.01245199668721135,-0.0004303562539651265,2019-03-01,30000.0,476383,0.057367167999999996,0.05863086781081912,0.0012636998108191272
201904,83.98,0.17195,140.0,0.012375000000000004,0.01400610647896474,0.0016311064789647364,2019-04-01,37500.0,470032,0.067433662,0.06160866942731651,-0.005824992572683492
201905,85.3,0.1672,130.0,0.011287037055555556,0.01315393401713348,0.001866896961577923,2019-05-01,30000.0,541382,0.065533134,0.06670968176253253,0.0011765477625325232
201906,85.1,0.16625,107.0,0.010600000000000002,0.011543005950365415,0.0009430059503654133,2019-06-01,30000.0,407105,0.068733658,0.06993766719069267,0.001204009190692662
201907,85.71,0.156,125.0,0.01002941176470588,0.0129102818360225,0.00288087007131662,2019-07-01,37500.0,506351,0.06701777099999999,0.07260495222085109,0.005587181220851098
201908,82.51,0.152,124.0,0.009720238071428572,0.013577093334092271,0.003856855262663701,2019-08-01,24661.89,344203,0.073280508,0.07350300640305221,0.00022249840305221813
201909,86.14,0.15,117.0,0.008434523857142854,0.01226207581877408,0.003827551961631225,2019-09-01,32656.5,362179,0.078185709,0.07944944461725645,0.0012637356172564423
201910,85.23,0.149,122.0,0.008563725529411767,0.012838396182737495,0.00427467065332573,2019-10-01,38080.98,461360,0.081695589,0.07881288153876877,-0.002882707461231232
201911,90.6,0.156,106.0,0.00796969709090909,0.010510508993892172,0.002540811902983083,2019-11-01,20145.24,245938,0.08497865800000001,0.08139309518428804,-0.0035855628157119707
201912,98.23,0.138,95.0,0.00848148133333333,0.008518445532150455,3.6964198817124656e-05,2019-12-01,12940.65,189351,0.07936982,0.07767818411448575,-0.0016916358855142422
202001,95.3,0.14,114.0,0.0095333332,0.010111149343830951,0.0005778161438309543,2020-01-01,16388.19,302346,0.067071221,0.07384347380954757,0.006772252809547574
202002,99.56,0.147,122.0,0.010230769230769227,0.009858711743875084,-0.00037205748689414335,2020-02-01,14887.71,275361,0.057644337000000004,0.06878726570346883,0.011142928703468821
202003,95.02,0.14800000000000002,146.0,0.014192708312500003,0.012507678883454628,-0.0016850294290453767,2020-03-01,17256.42,381275,0.050608165999999996,0.04956146165473186,-0.001046704345268136
